Modelo,Temperatura,Categoria,Accuracy,F1-Score,Precision,Recall
gemini-2.5-pro,1.0,Acabamento Interno,0.8000,0.8144,0.8306,0.8000
gemini-2.5-pro,1.0,Revestimento Externo,0.2000,0.2985,0.6471,0.2000
gemini-2.5-pro,1.0,Acabamento Externo,0.5600,0.6836,0.8773,0.5600
gemini-2.5-pro,1.0,Cobertura,0.9600,0.9796,1.0000,0.9600
gemma3_12b,0.0,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_12b,0.0,Esquadrias,0.8600,0.8323,0.8063,0.8600
gemma3_12b,0.0,Piso,0.1200,0.1389,0.1650,0.1200
gemma3_12b,0.0,Forro,0.9400,0.9109,0.8836,0.9400
gemma3_12b,0.0,Instalação Elétrica,0.9800,0.9899,1.0000,0.9800
gemma3_12b,0.0,Instalação Sanitária,0.3600,0.5294,1.0000,0.3600
gemma3_12b,0.0,Revestimento Interno,0.1200,0.2050,0.7029,0.1200
gemma3_12b,0.0,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
gemma3_12b,0.0,Revestimento Externo,0.0800,0.0200,0.0114,0.0800
gemma3_12b,0.0,Acabamento Externo,0.3400,0.4842,0.8411,0.3400
gemma3_12b,0.0,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_12b,0.5,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_12b,0.5,Esquadrias,0.8800,0.8426,0.8082,0.8800
gemma3_12b,0.5,Piso,0.1000,0.1189,0.1467,0.1000
gemma3_12b,0.5,Forro,0.9400,0.9109,0.8836,0.9400
gemma3_12b,0.5,Instalação Elétrica,0.9600,0.9796,1.0000,0.9600
gemma3_12b,0.5,Instalação Sanitária,0.3400,0.5075,1.0000,0.3400
gemma3_12b,0.5,Revestimento Interno,0.1400,0.2343,0.7175,0.1400
gemma3_12b,0.5,Acabamento Interno,0.9000,0.8526,0.8100,0.9000
gemma3_12b,0.5,Revestimento Externo,0.1000,0.0235,0.0133,0.1000
gemma3_12b,0.5,Acabamento Externo,0.3400,0.4842,0.8411,0.3400
gemma3_12b,0.5,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_12b,1.0,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_12b,1.0,Esquadrias,0.8200,0.8110,0.8022,0.8200
gemma3_12b,1.0,Piso,0.1600,0.1805,0.2071,0.1600
gemma3_12b,1.0,Forro,0.9400,0.9109,0.8836,0.9400
gemma3_12b,1.0,Instalação Elétrica,0.9400,0.9691,1.0000,0.9400
gemma3_12b,1.0,Instalação Sanitária,0.3600,0.5294,1.0000,0.3600
gemma3_12b,1.0,Revestimento Interno,0.0800,0.1426,0.6560,0.0800
gemma3_12b,1.0,Acabamento Interno,0.8800,0.8426,0.8082,0.8800
gemma3_12b,1.0,Revestimento Externo,0.0800,0.0204,0.0117,0.0800
gemma3_12b,1.0,Acabamento Externo,0.3600,0.5051,0.8460,0.3600
gemma3_12b,1.0,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_27b,0.0,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_27b,0.0,Esquadrias,0.8400,0.8494,0.8591,0.8400
gemma3_27b,0.0,Piso,0.4400,0.3503,0.2976,0.4400
gemma3_27b,0.0,Forro,0.9400,0.9109,0.8836,0.9400
gemma3_27b,0.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemma3_27b,0.0,Instalação Sanitária,0.2800,0.4375,1.0000,0.2800
gemma3_27b,0.0,Revestimento Interno,0.5200,0.6091,0.7352,0.5200
gemma3_27b,0.0,Acabamento Interno,0.7200,0.7535,0.7902,0.7200
gemma3_27b,0.0,Revestimento Externo,0.1200,0.0626,0.8533,0.1200
gemma3_27b,0.0,Acabamento Externo,0.0400,0.0767,0.9400,0.0400
gemma3_27b,0.0,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_27b,0.5,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_27b,0.5,Esquadrias,0.8400,0.8494,0.8591,0.8400
gemma3_27b,0.5,Piso,0.4200,0.3305,0.2754,0.4200
gemma3_27b,0.5,Forro,0.9400,0.9109,0.8836,0.9400
gemma3_27b,0.5,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemma3_27b,0.5,Instalação Sanitária,0.3000,0.4615,1.0000,0.3000
gemma3_27b,0.5,Revestimento Interno,0.5200,0.6006,0.7107,0.5200
gemma3_27b,0.5,Acabamento Interno,0.7000,0.7412,0.7875,0.7000
gemma3_27b,0.5,Revestimento Externo,0.1000,0.0587,0.8512,0.1000
gemma3_27b,0.5,Acabamento Externo,0.0400,0.0767,0.9400,0.0400
gemma3_27b,0.5,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_27b,1.0,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_27b,1.0,Esquadrias,0.8400,0.8494,0.8591,0.8400
gemma3_27b,1.0,Piso,0.4000,0.3189,0.2688,0.4000
gemma3_27b,1.0,Forro,0.9400,0.9109,0.8836,0.9400
gemma3_27b,1.0,Instalação Elétrica,1.0000,1.0000,1.0000,1.0000
gemma3_27b,1.0,Instalação Sanitária,0.2600,0.4127,1.0000,0.2600
gemma3_27b,1.0,Revestimento Interno,0.5000,0.5942,0.7321,0.5000
gemma3_27b,1.0,Acabamento Interno,0.6800,0.7286,0.7846,0.6800
gemma3_27b,1.0,Revestimento Externo,0.1200,0.0636,0.8540,0.1200
gemma3_27b,1.0,Acabamento Externo,0.0400,0.0767,0.9400,0.0400
gemma3_27b,1.0,Cobertura,1.0000,1.0000,1.0000,1.0000
gemma3_4b,0.0,Estrutura,1.0000,1.0000,1.0000,1.0000
gemma3_4b,0.0,Esquadrias,0.0000,0.0000,0.0000,0.0000
